TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2022,10,3,17,0,1XX N TEMPLETON DR,Grandview-Woodland,495653.204,5459223.2413
Theft from Vehicle,2022,9,7,6,57,1XX SALSBURY DR,Grandview-Woodland,495041.0471,5459053.3249
Theft from Vehicle,2022,11,5,2,6,20XX CHARLES ST,Grandview-Woodland,495403.3284,5457810.0564
Theft from Vehicle,2022,10,13,22,0,20XX E 3RD AVE,Grandview-Woodland,495366.56,5457217.53
Theft from Vehicle,2022,6,17,4,0,20XX E 4TH AVE,Grandview-Woodland,495406.3696,5457116.4131
Theft from Vehicle,2022,7,8,23,55,20XX E 5TH AVE,Grandview-Woodland,495363.4164,5457025.8648
Theft from Vehicle,2022,11,2,0,9,20XX E 5TH AVE,Grandview-Woodland,495374.4964,5457025.7431
Theft from Vehicle,2022,6,16,0,0,20XX E 5TH AVE,Grandview-Woodland,495426.4736,5457016.0297
Theft from Vehicle,2022,3,1,20,0,20XX E 6TH AVE,Grandview-Woodland,495439.5312,5456914.2018
Theft from Vehicle,2022,7,16,0,0,20XX E 7TH AVE,Grandview-Woodland,495418.0311,5456826.0238
Theft from Vehicle,2022,2,12,19,0,20XX E HASTINGS ST,Grandview-Woodland,495449.5038,5458720.7064
Theft from Vehicle,2022,1,3,18,0,20XX FERNDALE ST,Grandview-Woodland,495436.0149,5458551.9271
Theft from Vehicle,2022,1,3,0,0,20XX FERNDALE ST,Grandview-Woodland,495441.3437,5458542.7752
Theft from Vehicle,2022,6,7,12,0,20XX FRANKLIN ST,Grandview-Woodland,495375.9597,5458816.1416
Theft from Vehicle,2022,2,2,19,0,20XX FRANKLIN ST,Grandview-Woodland,495436.3752,5458824.4243
Theft from Vehicle,2022,2,11,17,45,20XX FRANKLIN ST,Grandview-Woodland,495436.3752,5458824.4243
Theft from Vehicle,2022,11,19,16,0,20XX FRANKLIN ST,Grandview-Woodland,495436.3752,5458824.4243
