TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2021,9,20,11,48,20XX BARCLAY ST,West End,489742.7441,5459975.2361
Theft from Vehicle,2021,8,30,20,0,20XX BARCLAY ST,West End,489775.1583,5459925.9898
Theft from Vehicle,2021,2,17,10,5,20XX COMOX ST,West End,489569.4115,5459833.8012
Theft from Vehicle,2021,1,24,9,0,20XX COMOX ST,West End,489573.9037,5459816.1372
Theft from Vehicle,2021,7,14,21,0,20XX HENSHAW LANE,West End,489669.2097,5459812.9906
Theft from Vehicle,2021,12,19,21,0,20XX JEPSON YOUNG LANE,West End,489593.5716,5459736.7623
Theft from Vehicle,2021,3,2,5,50,20XX PENDRELL ST,West End,489505.029,5459742.898
Theft from Vehicle,2021,10,11,7,10,20XX PENDRELL ST,West End,489505.029,5459742.898
Theft from Vehicle,2021,3,19,23,45,20XX PENDRELL ST,West End,489546.7558,5459688.6883
Theft from Vehicle,2021,5,5,16,0,20XX TED_NORTHE LANE,West End,489746.7275,5459893.0195
Theft from Vehicle,2021,1,3,14,0,6XX DENMAN ST,West End,490235.9762,5459961.6295
Theft from Vehicle,2021,7,30,17,0,6XX DENMAN ST,West End,490237.8325,5459963.421
Theft from Vehicle,2021,9,10,11,0,6XX DENMAN ST,West End,490237.8325,5459963.421
Theft from Vehicle,2021,2,21,4,54,7XX BROUGHTON ST,West End,490622.2132,5459545.8054
Theft from Vehicle,2021,1,7,14,55,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,1,9,20,15,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,2,6,16,30,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,2,7,12,0,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,2,9,16,11,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,2,25,10,0,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,5,25,6,45,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,6,10,10,40,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,6,30,8,30,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,6,30,9,45,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,6,30,17,0,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,7,24,14,0,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,9,28,19,30,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,10,11,14,30,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,10,11,18,30,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,12,3,8,30,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,12,6,9,15,7XX BURRARD ST,West End,491107.1134,5458998.8356
Theft from Vehicle,2021,10,25,22,0,7XX BUTE ST,West End,490788.1975,5459285.3942
Theft from Vehicle,2021,2,8,14,0,7XX BUTE ST,West End,490788.4337,5459271.8035
Theft from Vehicle,2021,1,5,21,0,7XX BUTE ST,West End,490797.659,5459282.3112
Theft from Vehicle,2021,8,8,16,30,7XX BUTE ST,West End,490886.9261,5459378.2772
Theft from Vehicle,2021,5,7,11,0,7XX CARDERO ST,West End,490398.4733,5459663.4339
